Submission ID,Respondent ID,Submitted at,How are you feeling about IOTA &amp; Shimmer right now?,What is your personal focus in this community / project,What is your personal focus in this community / project (Academic Research),What is your personal focus in this community / project (Development/Building),What is your personal focus in this community / project (Entrepreneurial Networking),What is your personal focus in this community / project (Speculative Research),What is your personal focus in this community / project (Community and friends),How confident are you in the progress IOTA &amp; Shimmer is making?,Which kind of project are you most excited about?,Which kind of project are you most excited about? (DeFi),Which kind of project are you most excited about? (Payments & On-Ramp),Which kind of project are you most excited about? (Other),Which kind of project are you most excited about? (DAO),Which kind of project are you most excited about? (Infrastructure),Which kind of project are you most excited about? (Wallet),Which kind of project are you most excited about? (Stablecoin),Which kind of project are you most excited about? (NFTs),Which kind of project are you most excited about? (Gaming & Metaverse),Which kind of project are you most excited about? (Bridge),Which kind of project are you most excited about? (Tooling & SDKs),Which kind of project are you most excited about? (DEX),Which kind of project are you most excited about? (Analytics & Block Explorer),Which kind of project are you most excited about? (Launchpad & Fundraising),How do you rate the Launch Party on Youtube?,Untitled long answer field,How often do you use Firefly?,What features are missing that would make you use Firefly more often?,What is currently stopping you from recommending Firefly to other people?,Anything else you'd like to share with the Firefly team?,How would you rate the documentation at https://wiki.iota.org,"Regarding the developer docs, tutorials, and tools, what do you expect the IOTA developer experience team to do more? (You can provide as many suggestions as you like)",Which project's (crypto/no-crypto) developer experience that you feel most exciting and why? Please provide as many details as you can,"The IOTA Foundation recently announced that it would enlarge its scope from only focusing on IoT and M2M. Do you have any thoughts about that, you would like to share with us?",An ever increasing amount of new crypto projects constantly enters the space. Which ones have you been taking an interest in within the past 6 months? (Bonus points if you tell us why),What should the IOTA Foundation do more? Please don’t forget to add why
EqKvA4,ODLEXa,2022-10-15 10:13:00,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"DeFi, Other, DAO, Infrastructure, Wallet, DEX, Analytics & Block Explorer",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,,Once a week,,,,,,,,,
J1qXgo,A7x9py,2022-10-15 10:14:35,Positive,"Development/Building, Entrepreneurial Networking, Community and friends",FALSE,TRUE,TRUE,FALSE,TRUE,4,"NFTs, Analytics & Block Explorer, Tooling & SDKs, DEX, Bridge, Wallet",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,,A few times a week,"- Buy/sell tokens. It woudl be nice to have the possibility to seemless use a choosen DEX directly from ff
- directory of common used address
- Having a profile balance (summary of all wallet balance in one view)",none,,8,,,"I'm fine with the scope enlargement, but I guess we need to keep focus on the M2M space too.

Specifically we need to allow a better support to store data in the node storage. Maybe not all of them","Algorand. It is not a perfect solution, but they were able to reach huge early adopter. That's means we need to onboard some ""actractive"" testimonial able to open the IOTA market",More marketing.
2jX15j,Y5r9GN,2022-10-15 10:15:27,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,4,"Gaming & Metaverse, Stablecoin, NFTs, DEX, Bridge",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4,,Less than once a month,DEX integration,,,7,Align with thr research team on the content.,,Good decision to not only do IoT.,,
RWxvld,lbLzOo,2022-10-15 10:15:33,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,3,"Infrastructure, Wallet, Tooling & SDKs, Bridge, Analytics & Block Explorer",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,,Once a week,Mobile Ledger Nano support.,,You are awesome.,8,,Love the Rust developer experience (& books).,"I'm a little concerned that the IF get's a little too much involved in the typical crypto stuff (NFTs, memes, etc.).",,"I'd personally wish for more communication regarding IOTA 2.0. The progress, what's missing, what's planned, etc."
1WXDyQ,EkL6Wl,2022-10-15 10:19:18,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"DeFi, DAO, Wallet, NFTs, Gaming & Metaverse, Bridge, DEX, Stablecoin, Infrastructure",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,,Once a week,,,,10,,,,,
BEaAqN,KYLGlX,2022-10-15 10:22:40,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,4,"Infrastructure, DAO, Other, NFTs",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,Once a month,dApps,Adoption ,"Try to make DLT a ISO standard in the industry, so lobbying at the right places",,,NFTs with PSO as an optimization for a factory ,,"Polygons project in India, where the police stores it files on the block chain, dIDs, voting, ZK-SNARKs ","As I Said before, lobbying at ISO and governments, immutability and distributed Ledger is a boon for every organization "
VpGvaa,EkL6XB,2022-10-15 10:24:10,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,1,"DeFi, Bridge, Tooling & SDKs, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2,,Once a month,,,,7,,,,,
6DLABO,ZjleJo,2022-10-15 10:30:35,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,3,"DeFi, Payments & On-Ramp, DAO, Wallet, Analytics & Block Explorer, DEX, Launchpad & Fundraising",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,,Once a month,Yubikey,Yubikey,,9,,,,"XRP for Bank usage
OCEAN for IA
IexecRLC for cloud computing",Find more token utility for IOTA coin
zEj268,kd5zZR,2022-10-15 10:31:21,Positive,"Speculative Research, Academic Research",TRUE,FALSE,FALSE,TRUE,FALSE,3,"Payments & On-Ramp, DeFi, DAO, Infrastructure",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,,Less than once a month,,,,8,,,,,
laBKEp,pbGzVJ,2022-10-15 10:31:29,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, Infrastructure, NFTs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Would have been more fun to actually see the livestream of the Party. Not two separate events ,Once a week,Sometimes I have the feeling the price is lagging behind.  Better visualization of the token price development. ,Nothing ,Would be fun to invest from the wallet directly in Projects ,9,,Everything about DeFi. You should definitely ramp this up! If IOTA can’t succeed in third area it will get really tough in the future ,You should Focus on DeFi. This should come first. Since Capital Markets are controlling everything u have to sit there on the table. I think to be present at 3 major topics is enough - within DeFi. ,,"Iota should Focus on promoting one vision that can be clearly stated in one sentence sth. like the purpose - since the digital world is very noisy - you have to keeping short and precise. 
I think real world adoption is important and working with industry partners like ETO too. But I think you have to do something exciting - and pillars are not an exciting product. 
Go, work with Tesla - use a Tesla (this time a real one and not a small one like years ago) and show the potential of the Iota technology compared to Ethereum - You have to use videos comparing your technology with others - by using a Tesla while charging showing what you can do, you not only use the strong brand of Tesla but also will get a lot of more news coverage. 

If you are presented in the news - there should be one discription that is easy to understand, what iota is and why it is important. You should provide sth. Like this for the news paper writers in order to get one cristal clear message out there! Currently it is not streamlined enough - saying that you will do everything - but have you have to focus und promote yourself about one purpose / vision / use case 

Maybe u do a comparison video showing Bitcoin as the first car - Etherum the second - and iota is now a 21 century car which is much more advanced - use pictures in the head of people - currently it is too far away from them to get interested - you have to pick people up right from where they are - not assume they will come to you anyway because your technology is superior! "
vXMEZ8,xX2z2r,2022-10-15 10:33:02,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,4,"Bridge, DEX, DeFi, DAO",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4,,Once a week,,price on iota,"still a lots people don’t know iota out there, let them shock ;)",8,,,,,"do something to up the market cap or price maybe, if you have tech but no price, people out there don’t really see you, the dont care about tech, just the price"
EqKvy2,RGRjBd,2022-10-15 10:40:43,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,2,"NFTs, Gaming & Metaverse",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,Once a week,Real world usecases,IOTA promised too often things that haven’t been delivered ,,7,,,,,
EqKvj2,jaLz0E,2022-10-15 10:45:06,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,3,"Payments & On-Ramp, Infrastructure, Wallet, Gaming & Metaverse",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,Once a month,"NFT wallet
Asset marketplace
Trading pairs with api to DEX or CEX
",No one has iota. Firefly only is an wallet without usecase only for sending funds,Keep on the hard work and make steady progress,9,,"E Mobility 
Streaming 
Supply chain
","Hopefully they dont lose their focus on these things. 
Looks like they always try to catch some hype when hypetrain allready left hypecity",,"Marketing somehow!
Change leader. Dom somtimes reakt like an child! Or he should take a course how to calm down and be more political in his answeres"
VpGbEj,QKd4xp,2022-10-15 10:45:29,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"Infrastructure, Bridge, DeFi",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,,Once a week,,,,,,,,,
6DLWJA,kd5z0M,2022-10-15 10:46:14,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"Wallet, Stablecoin, DEX, Payments & On-Ramp, Infrastructure",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,,Once a week,,,,7,,,,,
4aQ9aA,LZXOvG,2022-10-15 10:50:21,Positive,"Entrepreneurial Networking, Development/Building",FALSE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, Bridge, DEX, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,,A few times a week,"Fiat on ramp 
US $ or Euro transfers
Purchases via credit cards or Paypal

",As mentioned above,,8,,,Great move!,"None. IOTA, Shimmer, Assembly - all in","Faster & full deployment of shimmer EVM, SCs, Coordicide in IOTA"
xVrRVv,1AMRDM,2022-10-15 10:50:24,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,3,"DeFi, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,,A few times a month,Can swap even just a stablecoin inside the wallet and can send messages,Features not yet fully develop,Shimmer wallet will not open in old laptop,7,,Apps that can take and send picture to authority not knowing who sent,One stop shop.,Always interested in feeless.  Now following Shimmer how it will prosper,Go to every country to introduced what you are doing and what you can do to provide the government in term of iota use case
Qo1zoX,gDLzYN,2022-10-15 10:50:52,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"Infrastructure, Payments & On-Ramp, DeFi, Wallet, Bridge, DEX, Other, NFTs",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4,,A few times a month,"Actually I as normal user / community member use firefly only when bringing it back from CEX. Unfortunately for a normal user their is not yet mich to do with firefly, I want to use it for payment, and services I can use etc. want to login with iota etc..",The actual use case for „normal“ users is not yet there.. you only can receive and send without a big benefit or use case. ,"You are doing a fucking great job! 
I hope people can use firefly/firefly mobile soon for daily use cases and services (smart contracts)",10,"Not a dev. 
But I think from a community member perspective you should make more how to videos and also videos for knowledge transfer. That’s critical from my perspective… for mass adoption. Information must be accessible within 1 min via YouTube, Google, etc..",I personally like the idea of using DLT in smart city services. Sharing/buying energy with it (energy as service model etc). Making my life easier by using DLT with services I use in my daily life. In any regard. ,,,"More publicity , more hackathons , more mass adoption events for newbies. "
Arz4re,5BLV8M,2022-10-15 10:51:24,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,2,DeFi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,,Less than once a month,,,,7,,,,,
5XbebZ,rjVYGM,2022-10-15 10:52:25,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,4,"Infrastructure, Wallet, NFTs, DEX, Payments & On-Ramp, Launchpad & Fundraising, DeFi, Bridge",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,,Once a month,,,,10,,,,,
OQabaY,xX2z4G,2022-10-15 10:52:38,Positive,"Development/Building, Speculative Research",FALSE,TRUE,FALSE,TRUE,FALSE,3,"DeFi, Payments & On-Ramp, DEX, Analytics & Block Explorer",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,,Once a week,,,"Implement a official support system, community support isnt gonna cut it in the long-run and is also a little embarrassing tbh",8,,,,,
Qo1zMG,PdlrGd,2022-10-15 10:54:51,Positive,"Entrepreneurial Networking, Development/Building, Community and friends, Academic Research",TRUE,TRUE,TRUE,FALSE,TRUE,4,"DAO, Infrastructure, Wallet, Bridge, Tooling & SDKs, DEX, Analytics & Block Explorer, Launchpad & Fundraising",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,,Once a week,Gute Android App mit mehr Funktionen ausser nur staking,Nix... empfehle diese weiter,Weiter so.... mehr usecases für die firefly wallet,7,Dau konform ;),Identity wird alles verändern und ich will es in unser crm implementieren ,Top,"Iota... lieblingsprojekt mit echten Anwendungen...in zukunft
Xdc.... iso2022 coin 
Xrp... Spekulation Gewinne
Ada... wie iota geiles u sicheres projekt mit Sinn und zukünftigen Anwendungen 
Vet.... lieferkettenmanagement
Cnt... 100% Spekulation ","Mehr kleine und nützliche Features integrieren, als nur an dem großen Ganzen zu arbeiten..."
e5M0Dk,EkL6Nq,2022-10-15 10:54:54,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,4,"DAO, Gaming & Metaverse, Bridge, Tooling & SDKs, Infrastructure, Payments & On-Ramp",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,,A few times a week,there's no need  to use firefly at the moment beside soonaverse so we need more use case and bridges,,,8,,,,,
1WXNdl,QKd4OA,2022-10-15 10:55:28,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,3,"Infrastructure, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,Less than once a month,,,,,,,,,
2jXla9,1AMRpO,2022-10-15 10:56:29,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,4,"NFTs, DeFi, Wallet, Bridge",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,,Less than once a month,NFTs ,you can't really do much with FFY wallet... I miss NFTs and Smart contract with FFY,,10,,,,,
gbaJq4,VLVNDE,2022-10-15 10:57:32,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,4,"DeFi, Payments & On-Ramp, Stablecoin, DEX, NFTs, Infrastructure, Wallet",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,,Once a week,Real world usecases,They don't need to own IOTA,Keep it up,5,No Idea,Need real world usecase. ,Demonstrate how streams works.,None,Deliver Coordicide
zEjGM0,jaLzv6,2022-10-15 10:57:52,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,3,"Infrastructure, DeFi, Gaming & Metaverse",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,,Once a month,"An ecosystem to interact with. Possibly a browser extension or a mobile version that allows for interaction with a ecosystem (Soonaverse, iotabee, those to come)",Missing feature complete mobile version,"Sometimes it feel like form over function. Why is TanglePay so much faster? Just have something that works, no need for tip notch Design ",6,,,"The reason I was interested in IOTA in the beginning was, that it seemed like a serious infrastructure. I hope that does not get lost. I understand, that a wider scope may be needed. But i hope iota does not forget about it root ideas and ideals.",,"Have easy to understand code and application examples. Just like the fair roulette or other apps. This is good for developers, because they get an impression and for the community, because they have something easy to show to the wider space."
RWxboj,ZjleDa,2022-10-15 10:58:07,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,2,"Wallet, Stablecoin, NFTs, DeFi, Payments & On-Ramp, DAO",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,Less than once a month,A payment system for everyday shopping and stable coins ,Tricky installation and not much usage unless you are exchanging services with people already in the ecosystem ,,0,"Way better documentation, for example like tangle labs did with their identity manager",Tangle labs tixit and identity manager,,,
Ge6qpk,NpLPdW,2022-10-15 10:58:10,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,3,"DAO, DeFi, Payments & On-Ramp, Stablecoin, DEX",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,,Less than once a month,Web 3 ,,Please make browser plugin soooooooooon,6,,,,,
WJ2K8N,MeLVMg,2022-10-15 10:59:59,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Stablecoin, NFTs, Gaming & Metaverse, Bridge, DEX, Tooling & SDKs, Launchpad & Fundraising",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4,,A few times a week,,,,10,,,,,
Qo1z58,rjVYqL,2022-10-15 11:03:47,Positive,"Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Launchpad & Fundraising, Stablecoin",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,We have to become more focusef on Business  users needs and Entrepreneurial requirements ,Once a week,"NFT Viewer
Integration in Ledger Live with NFT Viewer

",Nothing,Continue on the mobilr,8,Explain how to use IOTA as a kind of Entreprise Blockchain ,,,"Soonaverse 
Lendexe","Marketing and big crypto events
I am organizing in Brussels the Blockchain Week ... i can help if you can come to do some showcases."
e5M0e0,44LOGo,2022-10-15 11:03:53,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,3,"Payments & On-Ramp, Wallet, Stablecoin, DEX",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,No professional livestream from singapore,Once a month,Fiat on/off ramp,-,Merge both versions asap,8,,,,,
J1qeA4,eqLzoo,2022-10-15 11:04:18,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,1,Payments & On-Ramp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,Less than once a month,,,,6,,,,,
gbaJ0l,44LOEo,2022-10-15 11:06:30,Negative,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,1,"Other, Infrastructure",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,You seriously ask people to check a 4.5 hours Youtube video? ,Less than once a month,Decentralization,Decentralization,Stronghold costs a ton of usability and doesn't really bring any serious security. Meanwhile not supporting hardware wallets on mobile costs a ton of usability and security. Hell there is a good argument to be made Stronghold decreases security.,6,Make it easier to find stuff.,,"https://cointelegraph.com/news/crypto-s-ongoing-crisis-is-an-opportunity-for-realignment

Let me quote your leader: ""Let’s do something interesting with crypto. Let’s use crypto to make people’s lives better and more enjoyable and easier. Let’s stop spending ungodly amounts of money on NFT projects that exist only to exist and, in most cases, eventually crash. It’s not even about civic responsibility or altruism. When did we become so unambitious? When did we become so self-involved, motivated only by profit, and interested only in solving insular problems? ""

And what you do is exactly the opposite. You are only hunting DeFi bullshit, or as Dom said, hoping on thousands of shitcoins in your wallets. ",Azero,"Be able to handle criticism without going apeshit, passive agressiveness, personal attacks, doxxing, stalking, etc. Do I really have to explain the ""why"" here? You guys are even for crypto projects below average in how freaking hostile you are to anyone who might disagree. You are completely okay with your mods stalking and threatening people because they are critical."
zEjGzq,RGRjgv,2022-10-15 11:08:42,Positive,"Academic Research, Speculative Research, Community and friends",TRUE,FALSE,FALSE,TRUE,TRUE,4,"DeFi, Bridge, DEX, Infrastructure, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,,Once a week,FingerPrint authentication on android version,,,9,Hackathons,,"Thats a good thing, it is still too early for crypto to be only IoT","There are some new interesting projects, but many of them are just copies with imrovements in some areas. However non of them compares to final vision of IOTA.","IMO IF should not make radical changes close to the release of new funcionality. Specifically when native SMR staking was postponed weeks before launch. I dont mind the change, but how it was handled. Changin something close to release, is not a good sign. Better to delay the release."
YjPJOd,ODLEgk,2022-10-15 11:08:49,Positive,"Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,FALSE,2,"DeFi, Stablecoin, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,,A few times a week,,,,5,,,,,
bZqYLe,rjVYWX,2022-10-15 11:12:26,Positive,"Speculative Research, Development/Building",FALSE,TRUE,FALSE,TRUE,FALSE,2,"Payments & On-Ramp, Infrastructure, Other",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,Once a month,,,,7,,,,,
8Nq68A,GxLb4O,2022-10-15 11:14:48,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Payments & On-Ramp, NFTs, DeFi, Wallet",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,Once a week,Biometric login,"Nothing, just that not many people know about IOTA",You’re doing a great job !,5,N/A,Simple Wallet for day to day payments with IOTA,"Great news ! 
Become the World Currency!",N/A,Find and communicate practical applications for the masses. 
4aQ9oB,7RoEg2,2022-10-15 11:16:07,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,4,"NFTs, DAO, DeFi, Gaming & Metaverse",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,,Once a week,,,,10,,,,,
laBYlp,kd5zXr,2022-10-15 11:19:07,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"Stablecoin, Infrastructure, Other",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,,Once a month,,Nothing. Its a great and smooth experience,Really good job! <3,8,,,,,
perJ0E,NpLPx0,2022-10-15 11:20:15,Positive,"Development/Building, Community and friends, Speculative Research",FALSE,TRUE,FALSE,TRUE,TRUE,4,"NFTs, Gaming & Metaverse, Bridge, Launchpad & Fundraising, DeFi, DAO, Stablecoin, Wallet",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,,A few times a week,"- NFT integration
- Stablecoin integration",-,"I know many people who are overwhelmed with crypto. An exchange that is easy to use and can be accessed directly through FireFly would be easy access for such people. 

In general, it would be cool to be able to exchange fiat directly to crypto and back without having to switch between stations.",10,I expect what I've seen so far with IOTA to be peak performance,"Crypto-Gaming: Because I love to play video games and I think it would be great if you could earn money by trading items, monsters,... trades",The IOTA Foundation will already know what it is doing. I have complete confidence in it!,"Cardano (ADA): Because I personally do not think anything of Etherum and see another heir to the throne there in the long term.
Cosmos (ATOM): Because I see the bridge between other cryptocurrencies as an important and exciting project.",I have no opinion on this
VpGbvN,44LO0A,2022-10-15 11:23:20,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"DEX, NFTs, DeFi, Stablecoin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,,A few times a week,,,"With the Shimmer Firefly Login, in contrast to the normal Firefly, the digits entered are briefly displayed when entering the wallet password. In my opinion, this is a security risk and should at least be deactivatable or disappear completely.
I recently helped a friend set up Shimmer Firefly remotely and was able to identify his exact password - which is generally not good. Please reconsider this when updating the wallet.",10,,,"You should do what you're good at and not get too ""entangled"" in all sorts of things.
First of all, the most important basic components have to go into the mainnet and work, then other areas that have been researched can complete the overall picture bit by bit.","NFTs and new interesting DeFi projects.
NFTs because I've created several collections myself on Soonaverse.
DeFi because I was interested in the new opportunities and passive income.","Development work is one thing, but the world needs to know more about it. True to the motto ""Do good and tell the world""
Other projects do not have a finished product, but are better and more noticed by investors, for example, simply because they communicate loudly across all channels."
PRpbvP,jaLz4J,2022-10-15 11:23:22,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,3,"DeFi, Wallet, DAO, DEX, Bridge, Stablecoin",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,,A few times a week,I like it. The use is simple.,Nothing.,Good work!,5,"It would be helpful to describe an instruction to run a node.
But one for layman :) Preferably in several languages or to make a video.",I'm a layman.,,"yenna.tech
snowman
Soonaverse
LendeXe
TFT
Tangle Labs
Spehre
IotaOrigin

All these ideas and developments are getting our world a bit better. More are on the way, but these above are the ones I will be watching closely.","It would be nice to know more about the progress of ongoing projects with the current partners.

That would be good publicity too. Just like the last announcement that EDAG will be starting the first car in 2023."
9NBRRK,oboz8O,2022-10-15 11:25:30,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,3,"Other, Stablecoin, Tooling & SDKs",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,,A few times a week,,,"i like to see more ""information density"" GUI wise...now a lot of space is ""wasted""",7,,,"although i think DeFI, NFTs and such are nice as experimental projects in order to mature the protocol further but the real value imo is in corporates launching value-adding business models leveraging IOTA.","LOYAL because they have a very interesting offering for corporates
+ all projects led by Michele Nati, Holger and Jens","IOTA is doing good but i wish everything would move more quickly but I also know R&D takes time.
I have full faith in the team so keep it up!
"
