Submission ID,Respondent ID,Submitted at,How are you feeling about IOTA &amp; Shimmer right now?,What is your personal focus in this community,What is your personal focus in this community (Academic Research),What is your personal focus in this community (Development/Building),What is your personal focus in this community (Entrepreneurial Networking),What is your personal focus in this community (Speculative Research),What is your personal focus in this community (Community and friends),What is your personal focus in this community (Governance),How confident are you in the progress IOTA &amp; Shimmer is making?,Which kind of project(s) are you most excited about?,Which kind of project(s) are you most excited about? (DeFi),Which kind of project(s) are you most excited about? (Payments & On-Ramp),Which kind of project(s) are you most excited about? (Other),Which kind of project(s) are you most excited about? (DAO),Which kind of project(s) are you most excited about? (Infrastructure),Which kind of project(s) are you most excited about? (Wallet),Which kind of project(s) are you most excited about? (Stablecoin),Which kind of project(s) are you most excited about? (NFTs),Which kind of project(s) are you most excited about? (Gaming),Which kind of project(s) are you most excited about? (Metaverse),Which kind of project(s) are you most excited about? (Bridge),Which kind of project(s) are you most excited about? (Tooling & SDKs),Which kind of project(s) are you most excited about? (DEX),Which kind of project(s) are you most excited about? (Analytics & Block Explorer),Which kind of project(s) are you most excited about? (Launchpad & Fundraising),Did you participate in the Treasures of Shimmer campaign?,Did you participate in the Treasures of Shimmer campaign? (I participated in Test&Earn and tried out dApps on ShimmerEVM),Did you participate in the Treasures of Shimmer campaign? (I participated in Play&Earn and engaged with the quests on Zealy),Did you participate in the Treasures of Shimmer campaign? (I did NOT participate in the Treasures of Shimmer campaign),How memorable was the Treasures of Shimmer campaign to you?,Did the campaign prompt you to seek more information about Shimmer?,How did you first become aware of the Treasures of Shimmer campaign on Zealy?,What is your overall rating of the Test &amp; Earn campaign?,How frequent did you participate in the Test &amp; Earn campaign?,Has the campaign improved your understanding of smart contracts and DeFi?,"After partaking in the campaign, how likely is it that you will use your SMR tokens to participate in dApps on mainnet?",What motivated you to engage with the Treasures of Shimmer campaign on Zealy?,What motivated you to engage with the Treasures of Shimmer campaign on Zealy? (The Anne Bonny NFT prize),What motivated you to engage with the Treasures of Shimmer campaign on Zealy? (The SMR airdrops),What motivated you to engage with the Treasures of Shimmer campaign on Zealy? (Other (Please comment)),Other,How would you rate the overall effectiveness of the Zealy campaign in capturing your attention and interest?,How would you rate your user experience with the TEA Zealy campaign?,"How likely is it, that you would participate in another Zealy campaign?",Additional comments
Pz1KJQ,4BEAXr,2023-06-20 18:05:29,Positive,"Community and friends, Speculative Research, Academic Research",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,"DeFi, Payments & On-Ramp, Other, Infrastructure, Wallet, Bridge, Stablecoin, Tooling & SDKs",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,IOTA Twitter,4,Daily,Unsure,Extremely likely,"The Anne Bonny NFT prize, The SMR airdrops, Other (Please comment)",TRUE,TRUE,TRUE,Being part of the community ,4,3,4,"It was great fun, hope EVM launch will come quick because we should not lose momentum. "
vPekZA,gegYDD,2023-06-20 18:06:05,Negative,"Academic Research, Governance",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Wallet, Infrastructure, DeFi, Bridge, Analytics & Block Explorer",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,3,Yes,"dApp Twitter (IOTAapes, ShimmerSea, etc..)",3,Couple of times,Yes,Likely,The Anne Bonny NFT prize,TRUE,FALSE,FALSE,,3,2,1,
o2eXbN,eDyKa0,2023-06-20 18:10:08,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Payments & On-Ramp, DeFi, Infrastructure",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
KV5dpD,yNgjJB,2023-06-20 18:10:24,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Infrastructure, Stablecoin, DeFi, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
Y40NGW,9XxpWY,2023-06-20 18:12:15,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,"Payments & On-Ramp, Infrastructure, DAO, DeFi",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
4KJejk,lqgKWp,2023-06-20 18:15:20,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"DeFi, Stablecoin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
D7kgXb,xjg49E,2023-06-20 18:17:41,Negative,"Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,"DeFi, Metaverse, Bridge",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
BxdM8A,pbGv6B,2023-06-20 18:18:03,Positive,"Governance, Entrepreneurial Networking",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,"DeFi, Payments & On-Ramp, DEX, Wallet, NFTs",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,3,Yes,IOTA Twitter,3,Couple of times,Yes,Likely,,,,,,,,,
MENopM,VjqvaJ,2023-06-20 18:25:04,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,Infrastructure,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
jl61Ra,rBgG9l,2023-06-20 18:25:45,Positive,"Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, Stablecoin, NFTs, Gaming, Metaverse, Bridge, Tooling & SDKs, DEX, DAO",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,2,No,IOTA/Shimmer Discord,3,Daily,Yes,Extremely likely,Other (Please comment),FALSE,FALSE,TRUE,Get experience ,1,,1,"Zealy is gathering to much ""personal"" data "
BxdPaY,DKbAQj,2023-06-20 18:30:12,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,"DeFi, Payments & On-Ramp, Stablecoin, Bridge, DEX, Launchpad & Fundraising, Infrastructure",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,3,Yes,IOTA/Shimmer Discord,3,Couple of times,Unsure,Neutral,,,,,,,,,
LP7Qqz,DKbx1R,2023-06-20 18:39:48,Positive,"Development/Building, Community and friends, Speculative Research",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,4,"Infrastructure, NFTs, Tooling & SDKs",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,2,Yes,IOTA/Shimmer Discord,3,Couple of times,Yes,Extremely likely,,,,,,,,,
5Zjyov,LzVa0j,2023-06-20 18:40:10,Positive,"Entrepreneurial Networking, Speculative Research, Community and friends",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,"Metaverse, Wallet, Infrastructure, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
7NL87a,eDy02O,2023-06-20 18:41:26,Positive,"Development/Building, Community and friends, Academic Research",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,"Infrastructure, Bridge, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
2KaM6e,0drJx0,2023-06-20 18:42:09,Positive,"Speculative Research, Community and friends, Governance",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Wallet, Stablecoin, NFTs, Bridge, DEX",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,"dApp Twitter (IOTAapes, ShimmerSea, etc..)",4,Daily,Yes,Extremely likely,"The Anne Bonny NFT prize, The SMR airdrops, Other (Please comment)",TRUE,TRUE,TRUE,learn,4,4,4,
xJMekr,1kONNO,2023-06-20 18:45:07,Positive,"Development/Building, Community and friends, Speculative Research",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,"DeFi, Wallet, NFTs, Gaming, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,2,No,,3,Couple of times,No,Likely,,,,,,,,,
AB2o2B,jbgJEY,2023-06-20 18:47:41,Negative,"Development/Building, Speculative Research",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,"DeFi, Gaming, Metaverse",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,IOTA Twitter,4,Daily,Yes,Extremely likely,The SMR airdrops,FALSE,TRUE,FALSE,,4,2,4,
qRDxo9,AKa4XD,2023-06-20 18:54:16,Positive,"Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4,"DeFi, Gaming, Bridge, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,IOTA/Shimmer Discord,4,Daily,Yes,Extremely likely,"The Anne Bonny NFT prize, The SMR airdrops",TRUE,TRUE,FALSE,,4,4,4,
jl6dEx,aekAWv,2023-06-20 18:56:18,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,"DeFi, Infrastructure, NFTs, DEX",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,3,No,Shimmer Twitter,4,Couple of times,Yes,Likely,,,,,,,,,
g9dyxN,jaLveQ,2023-06-20 18:58:24,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"Infrastructure, Stablecoin, Gaming, NFTs, Metaverse, Tooling & SDKs, DEX, DeFi",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,4,No,IOTA Twitter,4,Daily,Yes,Likely,,,,,,,,,
kNeDqr,b9g6j0,2023-06-20 19:02:39,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, Payments & On-Ramp, Wallet, NFTs, Bridge, Tooling & SDKs, DEX, Analytics & Block Explorer",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,3,Yes,IOTA/Shimmer Discord,3,Daily,Yes,Extremely likely,,,,,,,,,
8ZLodA,PD4GXe,2023-06-20 19:09:07,Positive,"Development/Building, Community and friends",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,"Tooling & SDKs, Other, DAO, Infrastructure",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
Pz9jld,AKaj6D,2023-06-20 19:10:07,Positive,"Speculative Research, Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,"DAO, Gaming, Tooling & SDKs",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,2,No,I saw a re-tweet about it,2,Daily,No,Likely,Other (Please comment),FALSE,FALSE,TRUE,To see how it goes.,1,1,1,
0e8roA,lqgMMW,2023-06-20 19:12:39,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,Other,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
RDoKbK,zNg1Lq,2023-06-20 19:13:21,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Other,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
0e8rGj,7bjpe9,2023-06-20 19:15:52,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Payments & On-Ramp, Infrastructure, Analytics & Block Explorer",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
bWeVGL,JdGWY7,2023-06-20 19:16:42,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,Launchpad & Fundraising,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
o2R6Ye,AKajOo,2023-06-20 19:17:53,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Payments & On-Ramp, Infrastructure, Wallet, Bridge",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,I participated in Play&Earn and engaged with the quests on Zealy,FALSE,TRUE,FALSE,,No,IOTA/Shimmer Discord,,,,,,,,,,2,2,4,
JOlK77,9Xxok5,2023-06-20 19:22:36,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, Payments & On-Ramp, Wallet, Metaverse, Bridge, Tooling & SDKs, DEX, Analytics & Block Explorer, Launchpad & Fundraising, DAO, Gaming, Infrastructure, Stablecoin, NFTs, Other",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
yJ4PPd,6e4paJ,2023-06-20 19:24:49,Negative,Entrepreneurial Networking,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"DeFi, DEX, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
Pz9dlb,b9gvee,2023-06-20 19:30:51,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Bridge, Metaverse, DEX, Infrastructure, DeFi",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
194Aop,ZoWDvB,2023-06-20 19:40:54,Positive,"Entrepreneurial Networking, Speculative Research",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,DAO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,No,IOTA Twitter,,Couple of times,Unsure,Likely,The SMR airdrops,FALSE,TRUE,FALSE,,3,3,4,"Needs more marketing, but the tech is finally getting there !!"
roOj7M,07Gaky,2023-06-20 19:43:21,Positive,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Infrastructure, Bridge, DEX, Metaverse, Other, DeFi, DAO, Stablecoin",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
KVxYqM,LzVkoj,2023-06-20 19:44:08,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"DeFi, Bridge, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
2KAjeD,vrgK88,2023-06-20 19:50:21,Positive,"Entrepreneurial Networking, Speculative Research, Development/Building, Governance",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,4,"Launchpad & Fundraising, Analytics & Block Explorer, DEX, Tooling & SDKs, Bridge, Metaverse, Gaming, NFTs, Stablecoin, Wallet, Infrastructure, DAO, Other, Payments & On-Ramp, DeFi",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,IOTA/Shimmer Discord,4,Daily,Yes,Extremely likely,"The Anne Bonny NFT prize, The SMR airdrops, Other (Please comment)",TRUE,TRUE,TRUE,Testing participation,4,4,4,
qRG5k2,OlrkpY,2023-06-20 19:55:59,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Infrastructure, DeFi, Payments & On-Ramp, Stablecoin, Gaming, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
z7MEV0,NDEP6G,2023-06-20 20:03:27,Positive,"Development/Building, Entrepreneurial Networking, Academic Research, Speculative Research",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,"Payments & On-Ramp, Infrastructure, Wallet, Stablecoin, NFTs, Bridge, Tooling & SDKs, Analytics & Block Explorer, Launchpad & Fundraising",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
0e8doj,RGRVEQ,2023-06-20 20:14:16,Negative,Governance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"DeFi, DEX, DAO, Other, Payments & On-Ramp",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"I participated in Play&Earn and engaged with the quests on Zealy, I participated in Test&Earn and tried out dApps on ShimmerEVM",TRUE,TRUE,FALSE,3,Yes,IOTA Twitter,4,Daily,Yes,Likely,The SMR airdrops,FALSE,TRUE,FALSE,,4,3,4,
194XRQ,EkLMvA,2023-06-20 20:17:08,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"DeFi, Wallet, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
8ZLqWx,E5A6VX,2023-06-20 20:18:12,Positive,"Speculative Research, Academic Research",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Infrastructure, Payments & On-Ramp, Wallet",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
Y4GPgd,2BVodL,2023-06-20 20:18:13,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Infrastructure, Wallet, DAO, DEX",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
roO5WM,rBgY8v,2023-06-20 20:18:54,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"DeFi, Infrastructure, Metaverse",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,IOTA Twitter,4,Daily,Yes,Extremely likely,The SMR airdrops,FALSE,TRUE,FALSE,,3,3,4,
BxpaVA,GKkbAj,2023-06-20 20:19:57,Positive,"Development/Building, Speculative Research",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,"DeFi, Payments & On-Ramp, Wallet",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,3,No,Shimmer Twitter,3,Daily,Yes,Extremely likely,"The Anne Bonny NFT prize, The SMR airdrops",TRUE,TRUE,FALSE,,3,3,4,
Pz9Dde,WrQZJR,2023-06-20 20:26:57,Positive,"Development/Building, Community and friends",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,"Payments & On-Ramp, Wallet, Gaming",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
4K7Bod,qagNPY,2023-06-20 20:34:14,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, Wallet, Stablecoin, Payments & On-Ramp, Bridge, DEX",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
MEaD2X,jbgEzY,2023-06-20 20:41:25,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"Payments & On-Ramp, Infrastructure, Bridge, Metaverse",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
a24eLE,EkLeE4,2023-06-20 20:44:05,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"DeFi, NFTs, DEX, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,I participated in Play&Earn and engaged with the quests on Zealy,FALSE,TRUE,FALSE,3,Yes,Shimmer Twitter,,,,,"The SMR airdrops, The Anne Bonny NFT prize",TRUE,TRUE,FALSE,,3,4,1,Too many suspiciously fast account participating. 
