"Submission ID","Respondent ID","Submitted at","How are you feeling about IOTA &amp; Shimmer right now?","What is your personal focus in this community / project","What is your personal focus in this community / project (Academic Research)","What is your personal focus in this community / project (Development/Building)","What is your personal focus in this community / project (Entrepreneurial Networking)","What is your personal focus in this community / project (Speculative Research)","What is your personal focus in this community / project (Community and friends)","What is your personal focus in this community / project (Governance)","How confident are you in the progress IOTA &amp; Shimmer is making?","Which libraries do you use for development (select all that apply)?","Which libraries do you use for development (select all that apply)? (Wallet library - https://github.com/iotaledger/wallet.rs)","Which libraries do you use for development (select all that apply)? (Client library - https://github.com/iotaledger/iota.rs)","Are you using the Rust crates, one of the bindings or iota.js?","Which bindings are you using? ","Which bindings are you using?  (NodeJS)","Which bindings are you using?  (Python)","Which bindings are you using?  (Java)","Which bindings are you using?  (Swift)","Which bindings are you using?  (WASM)","What are you using for learning resources? (e.g. wiki, codebase)","Do you have any feature request?","Do you have any feedback?","Which kind of project are you most excited about?","Which kind of project are you most excited about? (DeFi)","Which kind of project are you most excited about? (Payments & On-Ramp)","Which kind of project are you most excited about? (Other)","Which kind of project are you most excited about? (DAO)","Which kind of project are you most excited about? (Infrastructure)","Which kind of project are you most excited about? (Wallet)","Which kind of project are you most excited about? (Stablecoin)","Which kind of project are you most excited about? (NFTs)","Which kind of project are you most excited about? (Gaming)","Which kind of project are you most excited about? (Bridge)","Which kind of project are you most excited about? (Tooling & SDKs)","Which kind of project are you most excited about? (DEX)","Which kind of project are you most excited about? (Analytics & Block Explorer)","Which kind of project are you most excited about? (Launchpad & Fundraising)","Which kind of project are you most excited about? (Metaverse)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Smart Contracts)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (DeFi)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Tokenomics)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (DLT Protocol Features (zK, Sharding, etc..))","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Security (Managing tokens, bridges, etc..))","In which form would you prefer to learn new things the most?","In which form would you prefer to learn new things the most? (Blog posts)","In which form would you prefer to learn new things the most? (Twitter threads)","In which form would you prefer to learn new things the most? (IOTA Wiki Content)","In which form would you prefer to learn new things the most? (YouTube clips)","In which form would you prefer to learn new things the most? (Recorded Live Sessions)","In which form would you prefer to learn new things the most? (Podcasts)","Specific to the IOTA protocol, which things do you want to learn with priority?","Specific to the IOTA protocol, which things do you want to learn with priority? (IOTA 2.0 consensus)","Specific to the IOTA protocol, which things do you want to learn with priority? (Mana)","Specific to the IOTA protocol, which things do you want to learn with priority? (Digital Identity)","Specific to the IOTA protocol, which things do you want to learn with priority? (IOTA Smart Contracts)","Specific to the IOTA protocol, which things do you want to learn with priority? (Develop on IOTA (use libraries, etc))"
"k9xBAd","NqePdB","2023-03-16 22:18:48","Positive","Community and friends, Entrepreneurial Networking",false,false,true,false,true,false,3,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, DEX, Analytics & Block Explorer",true,true,false,false,true,true,false,false,false,false,false,true,true,false,false,"DeFi, Smart Contracts",true,true,false,false,false,"Podcasts, Recorded Live Sessions, YouTube clips, Twitter threads, Blog posts",true,true,false,true,true,true,"Mana, Digital Identity, IOTA Smart Contracts, IOTA 2.0 consensus",true,true,true,true,false
"KeyKRA","yXW1bW","2023-03-16 22:31:10","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"DeFi, NFTs, DEX, Wallet, Infrastructure",true,false,false,false,true,true,false,true,false,false,false,true,false,false,false,"Smart Contracts, DeFi, Security (Managing tokens, bridges, etc..)",true,true,false,false,true,"Blog posts, IOTA Wiki Content, Twitter threads",true,true,true,false,false,false,"IOTA 2.0 consensus, Mana",true,true,false,false,false
"075RAN","YjL9B0","2023-03-16 22:31:24","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"Payments & On-Ramp, DAO, Infrastructure, NFTs, Wallet, Metaverse, DEX, Launchpad & Fundraising",false,true,false,true,true,true,false,true,false,false,false,true,false,true,true,"Smart Contracts, DeFi, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Twitter threads, Blog posts, IOTA Wiki Content, YouTube clips, Recorded Live Sessions, Podcasts",true,true,true,true,true,true,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts",true,true,true,true,false
"1k5o5W","Z9pebA","2023-03-16 22:33:34","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"DeFi, Gaming, Wallet",true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,"Smart Contracts, DeFi",true,true,false,false,false,"Twitter threads, Podcasts",false,true,false,false,false,true,"IOTA 2.0 consensus, Mana",true,true,false,false,false
"rBWZy2","Eq4ak4","2023-03-16 22:47:39","Positive","Community and friends",false,false,false,false,true,false,2,,,,,,,,,,,,,,"DAO, Payments & On-Ramp",false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,"Smart Contracts, Security (Managing tokens, bridges, etc..), DLT Protocol Features (zK, Sharding, etc..)",true,false,false,true,true,"Blog posts, IOTA Wiki Content",true,false,true,false,false,false,"Mana, Digital Identity, IOTA 2.0 consensus",true,true,true,false,false
"Vjy6zJ","2jMRAV","2023-03-16 22:54:34","Positive","Community and friends",false,false,false,false,true,false,2,,,,,,,,,,,,,,"Infrastructure, Bridge, Other",false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,"Tokenomics",false,false,true,false,false,"YouTube clips, Twitter threads",false,true,false,true,false,false,"Digital Identity, Mana",false,true,true,false,false
"lqZEJ6","Ge274p","2023-03-16 23:26:37","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Wallet, DEX",true,true,false,false,false,true,false,false,false,false,false,true,false,false,false,"Security (Managing tokens, bridges, etc..)",false,false,false,false,true,"Recorded Live Sessions, Podcasts",false,false,false,false,true,true,"Digital Identity",false,false,true,false,false
"gerlAl","OQWVRA","2023-03-16 23:42:23","Positive","Community and friends",false,false,false,false,true,false,4,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, DAO, Other, Infrastructure, Wallet, Stablecoin, NFTs, Gaming, Metaverse, Bridge, Tooling & SDKs, DEX, Analytics & Block Explorer, Launchpad & Fundraising",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,"DeFi, Smart Contracts",true,true,false,false,false,"Twitter threads, YouTube clips, Podcasts",false,true,false,true,false,true,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts",true,true,true,true,false
"YRy615","RW72zd","2023-03-17 00:09:53","Positive","Academic Research, Community and friends, Speculative Research",true,false,false,true,true,false,3,"",false,false,,,,,,,,,,,"DeFi, Payments & On-Ramp, Stablecoin, Wallet, Infrastructure, Tooling & SDKs, DEX, Other",true,true,true,false,true,true,true,false,false,false,true,true,false,false,false,"Smart Contracts, DeFi, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Blog posts, IOTA Wiki Content, YouTube clips",true,false,true,true,false,false,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts",true,true,true,true,false
"XrypRj","o94gpb","2023-03-17 00:37:10","Positive","Speculative Research, Community and friends",false,false,false,true,true,false,3,,,,,,,,,,,,,,"Tooling & SDKs, DAO, DeFi",true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,"DeFi, Tokenomics",false,true,true,false,false,"YouTube clips",false,false,false,true,false,false,"IOTA 2.0 consensus, Mana",true,true,false,false,false
"vrbRBX","DqlY7l","2023-03-17 01:17:53","Positive","Development/Building",false,true,false,false,false,false,4,"Wallet library - https://github.com/iotaledger/wallet.rs, Client library - https://github.com/iotaledger/iota.rs",true,true,"iota.js",,,,,,,,,,"DeFi, DAO, Infrastructure, Stablecoin, Metaverse",true,false,false,true,true,false,true,false,false,false,false,false,false,false,true,"Smart Contracts, DeFi, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..), Tokenomics",true,true,true,true,true,"Twitter threads, YouTube clips, Podcasts, Blog posts",true,true,false,true,false,true,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",true,true,true,true,true
"oDQW7M","bZ0DPL","2023-03-17 02:09:27","Positive","Development/Building",false,true,false,false,false,false,3,"Wallet library - https://github.com/iotaledger/wallet.rs, Client library - https://github.com/iotaledger/iota.rs",true,true,"iota.js",,,,,,,"Codebase",,,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, DAO, Stablecoin, NFTs, Gaming, Metaverse, Tooling & SDKs, DEX, Analytics & Block Explorer, Launchpad & Fundraising",true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,"Smart Contracts, DeFi, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Podcasts, Recorded Live Sessions, YouTube clips, Twitter threads, IOTA Wiki Content, Blog posts",true,true,true,true,true,true,"IOTA 2.0 consensus, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",true,false,false,true,true
"KeybvD","gbRpRl","2023-03-17 02:13:08","Positive","Development/Building, Governance, Academic Research, Community and friends",true,true,false,false,true,true,4,"Wallet library - https://github.com/iotaledger/wallet.rs, Client library - https://github.com/iotaledger/iota.rs",true,true,"Rust Crates",,,,,,,,,,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Stablecoin, Wallet, NFTs, Gaming, Metaverse, DEX",true,true,false,true,true,true,true,true,true,false,false,true,false,false,true,"Smart Contracts, DeFi, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"YouTube clips",false,false,false,true,false,false,"Mana, IOTA 2.0 consensus, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",true,true,false,true,true
"E5Y4Zo","o941BM","2023-03-17 03:55:57","Positive","Academic Research, Development/Building, Entrepreneurial Networking, Speculative Research, Community and friends, Governance",true,true,true,true,true,true,3,"Wallet library - https://github.com/iotaledger/wallet.rs, Client library - https://github.com/iotaledger/iota.rs",true,true,"iota.js",,,,,,,,,,"DeFi, Payments & On-Ramp, Wallet, Gaming, Bridge, Tooling & SDKs, Analytics & Block Explorer, Infrastructure",true,true,false,false,true,true,false,false,true,true,true,false,true,false,false,"Smart Contracts, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,false,true,true,true,"Blog posts, Twitter threads, IOTA Wiki Content, YouTube clips, Recorded Live Sessions, Podcasts",true,true,true,true,true,true,"IOTA 2.0 consensus, Mana, IOTA Smart Contracts, Digital Identity, Develop on IOTA (use libraries, etc)",true,true,true,true,true
"aeobQq","RW7ald","2023-03-17 04:25:04","Positive","Academic Research, Speculative Research",true,false,false,true,false,false,2,,,,,,,,,,,,,,"DAO, Infrastructure, DEX",false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,"DeFi, Smart Contracts, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Blog posts, IOTA Wiki Content",true,false,true,false,false,false,"Digital Identity, Mana, IOTA 2.0 consensus",true,true,true,false,false
"NDyKlW","RW7a6d","2023-03-17 04:29:31","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"Bridge, DEX, Payments & On-Ramp",false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,"Tokenomics, Smart Contracts",true,false,true,false,false,"YouTube clips, Blog posts, Twitter threads",true,true,false,true,false,false,"IOTA Smart Contracts, Digital Identity, Mana",false,true,true,true,false
"E5YjWL","bZ0yXo","2023-03-17 04:33:43","Positive","Community and friends",false,false,false,false,true,false,4,,,,,,,,,,,,,,"DeFi, DEX, Stablecoin, Wallet, Infrastructure, DAO, Launchpad & Fundraising, Analytics & Block Explorer",true,false,false,true,true,true,true,false,false,false,false,true,true,true,false,"DeFi, Smart Contracts, DLT Protocol Features (zK, Sharding, etc..)",true,true,false,true,false,"YouTube clips, Twitter threads, Podcasts",false,true,false,true,false,true,"IOTA 2.0 consensus, Mana, Develop on IOTA (use libraries, etc)",true,true,false,false,true
"4BdW5r","o94aDx","2023-03-17 05:09:57","Negative","Entrepreneurial Networking",false,false,true,false,false,false,2,,,,,,,,,,,,,,"Stablecoin, Payments & On-Ramp, DeFi, Bridge, Launchpad & Fundraising",true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,"Security (Managing tokens, bridges, etc..), DeFi",false,true,false,false,true,"IOTA Wiki Content",false,false,true,false,false,false,"IOTA Smart Contracts",false,false,false,true,false
"RdaK0p","X5KvG4","2023-03-17 05:24:22","Positive","Development/Building, Academic Research, Governance",true,true,false,false,false,true,4,"Wallet library - https://github.com/iotaledger/wallet.rs",true,false,"Rust Crates",,,,,,,,,,"Launchpad & Fundraising",false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..), Tokenomics, DeFi",true,true,true,true,true,"IOTA Wiki Content, Blog posts",true,false,true,false,false,false,"IOTA 2.0 consensus, Mana, Develop on IOTA (use libraries, etc), IOTA Smart Contracts, Digital Identity",true,true,true,true,true
"ZoK5yo","e5dj0J","2023-03-17 05:44:10","Positive","Entrepreneurial Networking, Community and friends, Speculative Research",false,false,true,true,true,false,3,,,,,,,,,,,,,,"Tooling & SDKs, Launchpad & Fundraising, Payments & On-Ramp",false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,"DLT Protocol Features (zK, Sharding, etc..), Tokenomics, DeFi, Smart Contracts, Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"IOTA Wiki Content, YouTube clips",false,false,true,true,false,false,"IOTA 2.0 consensus, Mana",true,true,false,false,false
"Xrklvj","M19QM8","2023-03-17 05:47:11","Positive","Entrepreneurial Networking",false,false,true,false,false,false,3,,,,,,,,,,,,,,"DeFi, DEX, Stablecoin, Payments & On-Ramp",true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,"Security (Managing tokens, bridges, etc..), DeFi, Smart Contracts",true,true,false,false,true,"YouTube clips, Twitter threads, Podcasts",false,true,false,true,false,true,"IOTA 2.0 consensus, Mana, IOTA Smart Contracts",true,true,false,true,false
"PDejo0","Eq4rgB","2023-03-17 05:56:18","Negative","Community and friends, Entrepreneurial Networking, Governance",false,false,true,false,true,true,2,,,,,,,,,,,,,,"DeFi, Infrastructure, Metaverse, Launchpad & Fundraising",true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,"Security (Managing tokens, bridges, etc..), Tokenomics",false,false,true,false,true,"IOTA Wiki Content, Blog posts, Twitter threads",true,true,true,false,false,false,"Mana, IOTA 2.0 consensus",true,true,false,false,false
"MDqKoE","Z9pLye","2023-03-17 05:58:35","Negative","Entrepreneurial Networking, Speculative Research",false,false,true,true,false,false,2,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, Stablecoin",true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,"Smart Contracts, DeFi, Tokenomics",true,true,true,false,false,"IOTA Wiki Content, YouTube clips, Recorded Live Sessions, Blog posts",true,false,true,true,true,false,"Mana, Digital Identity, IOTA Smart Contracts",false,true,true,true,false
"JdxKaX","WJvkBv","2023-03-17 06:00:52","Positive","Governance, Community and friends",false,false,false,false,true,true,4,,,,,,,,,,,,,,"DeFi, Metaverse",true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,"DeFi",false,true,false,false,false,"Blog posts, Twitter threads",true,true,false,false,false,false,"IOTA Smart Contracts, Mana, IOTA 2.0 consensus",true,true,false,true,false
"GK4x6e","q527qG","2023-03-17 06:03:54","Negative","Governance, Community and friends",false,false,false,false,true,true,1,,,,,,,,,,,,,,"Payments & On-Ramp, Stablecoin, DEX, Analytics & Block Explorer",false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,"Smart Contracts, DeFi",true,true,false,false,false,"Podcasts, YouTube clips",false,false,false,true,false,true,"IOTA Smart Contracts, IOTA 2.0 consensus",true,false,false,true,false
"9XyqQQ","68RPDo","2023-03-17 06:08:51","Positive","Speculative Research",false,false,false,true,false,false,3,,,,,,,,,,,,,,"DEX, DeFi, Infrastructure, Bridge",true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,"Smart Contracts, DeFi",true,true,false,false,false,"YouTube clips",false,false,false,true,false,false,"IOTA Smart Contracts",false,false,false,true,false
"54DBRM","gbRX54","2023-03-17 06:44:00","Positive","Speculative Research, Community and friends, Development/Building",false,true,false,true,true,false,4,"Client library - https://github.com/iotaledger/iota.rs",false,true,"Rust Crates",,,,,,,"Wiki",,,"DeFi, NFTs, Stablecoin, Metaverse, DEX",true,false,false,false,false,false,true,true,false,false,false,true,false,false,true,"DeFi, Tokenomics",false,true,true,false,false,"YouTube clips, IOTA Wiki Content, Twitter threads",false,true,true,true,false,false,"Mana, Digital Identity, IOTA Smart Contracts, IOTA 2.0 consensus",true,true,true,true,false
"NDQpkG","Ge2ark","2023-03-17 06:44:23","Positive","Governance",false,false,false,false,false,true,3,,,,,,,,,,,,,,"Infrastructure",false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,"Smart Contracts",true,false,false,false,false,"Blog posts",true,false,false,false,false,false,"IOTA Smart Contracts",false,false,false,true,false
"6eyDNA","6DXG1B","2023-03-17 06:56:22","Negative","Development/Building",false,true,false,false,false,false,2,"Client library - https://github.com/iotaledger/iota.rs",false,true,"iota.js",,,,,,,,,,"DeFi, Stablecoin, Gaming, Metaverse, DEX",true,false,false,false,false,false,true,false,true,false,false,true,false,false,true,"Smart Contracts, DeFi",true,true,false,false,false,"Twitter threads",false,true,false,false,false,false,"IOTA Smart Contracts",false,false,false,true,false
"lq1BbW","5BLQkd","2023-03-17 07:31:39","Positive","Speculative Research, Community and friends",false,false,false,true,true,false,3,,,,,,,,,,,,,,"DeFi, DAO, Gaming",true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,"Smart Contracts, Tokenomics",true,false,true,false,false,"Blog posts, YouTube clips",true,false,false,true,false,false,"Mana, Digital Identity",false,true,true,false,false
"zNoy8a","gbRPOO","2023-03-17 09:11:26","Positive","Speculative Research, Community and friends",false,false,false,true,true,false,4,,,,,,,,,,,,,,"Tooling & SDKs, Stablecoin, DeFi, Infrastructure, Metaverse, DEX, Analytics & Block Explorer, NFTs",true,false,false,false,true,false,true,true,false,false,true,true,true,false,true,"DeFi, Tokenomics",false,true,true,false,false,"Podcasts, YouTube clips, Twitter threads, Blog posts",true,true,false,true,false,true,"IOTA 2.0 consensus, Mana, Develop on IOTA (use libraries, etc), Digital Identity, IOTA Smart Contracts",true,true,true,true,true
"QMWYv8","2jM25M","2023-03-17 13:23:05","Negative","Development/Building, Governance",false,true,false,false,false,true,4,"Client library - https://github.com/iotaledger/iota.rs, Wallet library - https://github.com/iotaledger/wallet.rs",true,true,"Bindings","NodeJS",true,false,false,false,false,"discord, iota wiki","No, everything is really too green","Iota is immense, also the work that is required, more teams are needed, projects involved in the development, all areas are advancing too slowly","NFTs, Metaverse, Bridge, DEX, DeFi, Payments & On-Ramp, Other, DAO, Stablecoin, Wallet, Infrastructure, Tooling & SDKs",true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,"Smart Contracts, DeFi, Security (Managing tokens, bridges, etc..)",true,true,false,false,true,"IOTA Wiki Content, Blog posts, Twitter threads",true,true,true,false,false,false,"IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",false,false,false,true,true
"PDeY7B","8N09XO","2023-03-17 13:32:10","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"DAO, Wallet, Tooling & SDKs, Launchpad & Fundraising",false,false,false,true,false,true,false,false,false,false,true,false,false,true,false,"Smart Contracts, Tokenomics, DLT Protocol Features (zK, Sharding, etc..)",true,false,true,true,false,"Blog posts",true,false,false,false,false,false,"Mana, IOTA Smart Contracts",false,true,false,true,false
"6eyrAB","OQWv6Y","2023-03-17 14:08:30","Positive","Entrepreneurial Networking",false,false,true,false,false,false,4,,,,,,,,,,,,,,"Bridge, Infrastructure, DeFi",true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..)",true,false,false,true,false,"YouTube clips",false,false,false,true,false,false,"Digital Identity",false,false,true,false,false
"lq1VZ6","2jM029","2023-03-17 14:09:48","Positive","Entrepreneurial Networking, Community and friends",false,false,true,false,true,false,4,,,,,,,,,,,,,,"DeFi, Infrastructure, Wallet, DEX",true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,"Smart Contracts, DeFi, DLT Protocol Features (zK, Sharding, etc..)",true,true,false,true,false,"IOTA Wiki Content, YouTube clips",false,false,true,true,false,false,"Mana, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",false,true,false,true,true
"1kypaQ","bZ0bzL","2023-03-17 14:33:16","Positive","Entrepreneurial Networking",false,false,true,false,false,false,4,,,,,,,,,,,,,,"DeFi, Launchpad & Fundraising",true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,"Smart Contracts, DeFi, Tokenomics, Security (Managing tokens, bridges, etc..)",true,true,true,false,true,"YouTube clips, Podcasts, Twitter threads",false,true,false,true,false,true,"IOTA Smart Contracts",false,false,false,true,false
"AKGOL0","aO8bQ2","2023-03-17 15:31:16","Positive","Speculative Research",false,false,false,true,false,false,3,,,,,,,,,,,,,,"Metaverse, Infrastructure, Tooling & SDKs, Other",false,false,true,false,true,false,false,false,false,false,true,false,false,false,true,"Smart Contracts, DeFi, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Recorded Live Sessions, Podcasts, YouTube clips, Blog posts",true,false,false,true,true,true,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",true,true,true,true,true
"k914d6","vXQ7WX","2023-03-17 15:53:58","Positive","Speculative Research",false,false,false,true,false,false,2,,,,,,,,,,,,,,"Launchpad & Fundraising, DEX, Bridge, Gaming, DeFi",true,false,false,false,false,false,false,false,true,true,false,true,false,true,false,"Security (Managing tokens, bridges, etc..), Tokenomics, Smart Contracts",true,false,true,false,true,"YouTube clips",false,false,false,true,false,false,"Digital Identity, IOTA Smart Contracts",false,false,true,true,false
"zNo6WR","dWDRjr","2023-03-17 16:44:55","Positive","Speculative Research, Community and friends",false,false,false,true,true,false,4,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Wallet, Bridge, Tooling & SDKs, DEX",true,true,false,true,true,true,false,false,false,true,true,true,false,false,false,"DeFi, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",false,true,false,true,true,"YouTube clips, Twitter threads",false,true,false,true,false,false,"Mana, IOTA Smart Contracts, Digital Identity, IOTA 2.0 consensus",true,true,true,true,false
"pd12zb","LDA14y","2023-03-17 16:46:02","Positive","Speculative Research",false,false,false,true,false,false,3,,,,,,,,,,,,,,"DAO, Wallet",false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,"Smart Contracts",true,false,false,false,false,"Blog posts",true,false,false,false,false,false,"IOTA Smart Contracts, Digital Identity, IOTA 2.0 consensus",true,false,true,true,false
"jbYjyE","0V2QxQ","2023-03-17 17:04:09","Negative","Speculative Research",false,false,false,true,false,false,2,,,,,,,,,,,,,,"DeFi, Other, NFTs, Wallet",true,false,true,false,false,true,false,true,false,false,false,false,false,false,false,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..)",true,false,false,true,false,"Blog posts, Twitter threads",true,true,false,false,false,false,"IOTA Smart Contracts, IOTA 2.0 consensus",true,false,false,true,false
"pd1QVV","2jqEeb","2023-03-17 17:04:38","Negative","Academic Research, Development/Building, Speculative Research, Community and friends",true,true,false,true,true,false,1,"Client library - https://github.com/iotaledger/iota.rs",false,true,"Bindings","Python",false,true,false,false,false,"Wiki, Discord",,,"Bridge",false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,false,false,true,true,"Blog posts, YouTube clips, Recorded Live Sessions",true,false,false,true,true,false,"IOTA 2.0 consensus, Mana",true,true,false,false,false
"54DJ2M","xVkXp9","2023-03-17 17:04:41","Negative","Speculative Research",false,false,false,true,false,false,1,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Infrastructure, Stablecoin, DEX",true,true,false,false,true,false,true,false,false,false,false,true,false,false,false,"Smart Contracts, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..), DeFi",true,true,true,true,true,"Podcasts, YouTube clips",false,false,false,true,false,true,"Digital Identity",false,false,true,false,false
"jbYjxR","OQpDzk","2023-03-17 17:04:47","Positive","Speculative Research, Community and friends",false,false,false,true,true,false,4,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Wallet, NFTs, Gaming, Metaverse, DEX",true,true,false,false,false,true,false,true,true,false,false,true,false,false,true,"Smart Contracts, DeFi, Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Blog posts, Podcasts, Twitter threads",true,true,false,false,false,true,"IOTA Smart Contracts, Digital Identity, IOTA 2.0 consensus, Mana",true,true,true,true,false
"8zyXGY","aObQ6W","2023-03-17 17:05:09","Positive","Community and friends, Speculative Research, Academic Research",true,false,false,true,true,false,4,,,,,,,,,,,,,,"NFTs, Gaming, Bridge, DeFi, Wallet, Stablecoin",true,false,false,false,false,true,true,true,true,true,false,false,false,false,false,"Tokenomics",false,false,true,false,false,"Blog posts, Twitter threads",true,true,false,false,false,false,"Develop on IOTA (use libraries, etc), IOTA Smart Contracts",false,false,false,true,true
"54DJqb","o9rbA5","2023-03-17 17:05:38","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"DEX, DeFi, Bridge, Launchpad & Fundraising, Infrastructure, DAO",true,false,false,true,true,false,false,false,false,true,false,true,false,true,false,"DeFi",false,true,false,false,false,"YouTube clips, IOTA Wiki Content",false,false,true,true,false,false,"IOTA Smart Contracts",false,false,false,true,false
"6eygQ5","PRMdAP","2023-03-17 17:05:43","Positive","Entrepreneurial Networking, Community and friends, Governance, Speculative Research",false,false,true,true,true,true,2,,,,,,,,,,,,,,"Payments & On-Ramp, NFTs, Gaming, DEX, DeFi, DAO, Infrastructure",true,true,false,true,true,false,false,true,true,false,false,true,false,false,false,"DLT Protocol Features (zK, Sharding, etc..), Tokenomics, Smart Contracts",true,false,true,true,false,"Blog posts, Twitter threads, YouTube clips, Podcasts",true,true,false,true,false,true,"IOTA 2.0 consensus, Mana, IOTA Smart Contracts",true,true,false,true,false
"7bzy9z","EqjkPA","2023-03-17 17:05:44","Positive","Governance",false,false,false,false,false,true,3,,,,,,,,,,,,,,"DAO",false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"DeFi",false,true,false,false,false,"Blog posts",true,false,false,false,false,false,"IOTA 2.0 consensus",true,false,false,false,false
