Submission ID,Respondent ID,Submitted at,How are you feeling about IOTA &amp; Shimmer right now?,What is your personal focus in this community,What is your personal focus in this community (Academic Research),What is your personal focus in this community (Development/Building),What is your personal focus in this community (Entrepreneurial Networking),What is your personal focus in this community (Speculative Research),What is your personal focus in this community (Community and friends),What is your personal focus in this community (Governance),How confident are you in the progress IOTA &amp; Shimmer is making?,Which kind of project(s) are you most excited about?,Which kind of project(s) are you most excited about? (DeFi),Which kind of project(s) are you most excited about? (Payments & On-Ramp),Which kind of project(s) are you most excited about? (Other),Which kind of project(s) are you most excited about? (DAO),Which kind of project(s) are you most excited about? (Infrastructure),Which kind of project(s) are you most excited about? (Wallet),Which kind of project(s) are you most excited about? (Stablecoin),Which kind of project(s) are you most excited about? (NFTs),Which kind of project(s) are you most excited about? (Gaming),Which kind of project(s) are you most excited about? (Metaverse),Which kind of project(s) are you most excited about? (Bridge),Which kind of project(s) are you most excited about? (Tooling & SDKs),Which kind of project(s) are you most excited about? (DEX),Which kind of project(s) are you most excited about? (Analytics & Block Explorer),Which kind of project(s) are you most excited about? (Launchpad & Fundraising),Which kind of project(s) are you most excited about? (Identity),How transparent do you feel the foundation and their departments are?,How satisfied are you with the way the foundation and their departments communicate?,How much do you agree with the following statement?The IF is making efforts towards being transparent and open.,Are there any specific topics that you would like to see the foundation and their departments communicate more about?
ZNZ7M5,Ap1LBD,2023-09-27 13:26:11,Positive,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, Wallet",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,Decentralisation
e6YJVQ,vDoyP0,2023-09-27 13:26:13,Negative,"Governance, Development/Building",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,"Identity, Infrastructure, DAO, DEX, Wallet",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,2,"Financial dependencies (UAE), development processes and completion dates, internal decision-making processes "
g0kEjD,9qvvRV,2023-09-27 13:28:42,Positive,"Entrepreneurial Networking, Speculative Research",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"DeFi, Infrastructure, Identity, Bridge",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,Eine Aktive Roadmap 
r6keyR,erkeBO,2023-09-27 13:29:01,Negative,"Development/Building, Governance, Academic Research, Speculative Research",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,DAO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,
AdjErz,VP25la,2023-09-27 13:29:24,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Identity, DeFi, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,Financial status. How long are you able to operate?
vAdlM0,1XVQGl,2023-09-27 13:29:51,Negative,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Infrastructure, Metaverse, Tooling & SDKs, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,2,"Pleased realistic timetables

Pleased no false promises from individuals of the IF

Pleased clearly label PoCs and do not hype them as important milestones in adoption"
kyk2lR,Gp8d0j,2023-09-27 13:29:51,Positive,"Development/Building, Entrepreneurial Networking, Academic Research, Speculative Research",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Stablecoin, Gaming, Bridge, DEX, Infrastructure, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,3,3,"You should generate MORE HYPE of your achievements! There was NO tweet about ShimmerEVM launch date from @shimmernet / @iota? WTF WHY??? rly??? Don't focus ONLY on discord! Yes, there is your ""core"" community, but everyone else is in crpyto twitter, so use these social media to generate hype and announcements! I'm not telling you to hype everything...that would be crap, of course. But if you have already achieved something and have something to announce, then do it with noise!"
XD2poj,YGNWY6,2023-09-27 13:31:17,Negative,"Community and friends, Entrepreneurial Networking",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"NFTs, DeFi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,
BX2rxN,MaozJg,2023-09-27 13:31:44,Positive,"Community and friends, Entrepreneurial Networking",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"Payments & On-Ramp, Identity, Wallet, Stablecoin, Other, DAO, Infrastructure",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,Entwicklung
Ozo6G8,Gp8dJ2,2023-09-27 13:31:57,Positive,"Community and friends, Governance, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, Wallet, Gaming, Metaverse, Bridge, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,4,4,
K6a917,47exNo,2023-09-27 13:32:07,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"DeFi, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,
Ozo65K,14q72L,2023-09-27 13:32:25,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"DeFi, Payments & On-Ramp, Identity, Stablecoin, NFTs, Launchpad & Fundraising, DEX, Analytics & Block Explorer",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2,2,3,"There should be an official way to communicate and not only Dom explaining everything, so that the whole world thinks that Dom is the only autoctratic decision maker. This hurts the reputation of IOTA and the IOTA Foundation..."
9Wo8dG,6LdKWk,2023-09-27 13:33:01,Negative,"Speculative Research, Development/Building",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,"Payments & On-Ramp, Infrastructure, Identity, Wallet, Bridge, Tooling & SDKs",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,1,The latest developments regarding UAE projects and the token supply increase have been a disaster in terms of communication and transparency. (Note: I really only mean in terms of communication!)
xplAdG,ElyQ8L,2023-09-27 13:33:22,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Identity, DEX, Analytics & Block Explorer",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3,4,4,
Lb6eGO,9ZbD2K,2023-09-27 13:33:35,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"DEX, Bridge, DeFi, Identity",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,1,3,
EXN2Lq,WRx5DL,2023-09-27 13:34:13,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"Infrastructure, NFTs",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,3,
qdk9Wk,xDOaRk,2023-09-27 13:34:45,Negative,"Community and friends, Development/Building",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,"Payments & On-Ramp, Infrastructure, Identity, Wallet, Tooling & SDKs, Launchpad & Fundraising, DAO, Other, DeFi",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,2,3,
pKkQJ1,47exEr,2023-09-27 13:36:47,Negative,Governance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,Other,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,
1lpLgQ,erkeGe,2023-09-27 13:39:56,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Identity, Infrastructure",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,
oykqNV,14q70Q,2023-09-27 13:40:55,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Infrastructure, Identity, Gaming",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,
8KRXbx,ZOq6bz,2023-09-27 13:41:10,Positive,"Academic Research, Development/Building, Entrepreneurial Networking, Governance",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,4,"DeFi, Infrastructure, Stablecoin, NFTs, DEX, Launchpad & Fundraising, Metaverse, Gaming",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,3,3,
ZNZMr0,eqEyKE,2023-09-27 13:41:47,Positive,"Development/Building, Entrepreneurial Networking, Speculative Research, Community and friends",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3,"DeFi, Identity, Payments & On-Ramp, Stablecoin, NFTs, Gaming, DEX",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,2,3,
1lpLaM,ZOq6ry,2023-09-27 13:42:01,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"Infrastructure, Identity, Gaming",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,3,
pKkQEZ,JdEe67,2023-09-27 13:42:30,Positive,"Governance, Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,"DAO, Identity, DeFi, NFTs, Tooling & SDKs",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,4,4,"IF should be as transparent as possible, but if it has to come to fundamental decisions in the best interest of IOTA/Shimmer, make them. The community cannot know more than the IF, which is very close to the topics.
The roadmap to a final DAO governance would be nice. A start has been made, but in what time frame and at what pace is it progressing step by step?"
R0VAAp,VP25ev,2023-09-27 13:43:01,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, Infrastructure, Identity, Stablecoin, Gaming, Bridge, DEX, Launchpad & Fundraising, Analytics & Block Explorer",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,3,3,
vAdRBv,59Wz4Q,2023-09-27 13:49:25,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"Payments & On-Ramp, Wallet",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,
d6k7Pq,VP20j6,2023-09-27 13:49:30,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Identity, Infrastructure, Other",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,
d6k7RV,oRXyBP,2023-09-27 13:53:50,Positive,"Development/Building, Entrepreneurial Networking, Academic Research, Governance",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2,"DeFi, DAO, Identity, Wallet, Stablecoin, Metaverse, Infrastructure, Payments & On-Ramp, Bridge, Gaming, Tooling & SDKs",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,3,1,"Transparency, timely communication. Financial transparency, transparency of project development progress are needed to bring transparency to the community"
7WpQj2,qG0dPG,2023-09-27 13:53:57,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Bridge, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,
J6WyGX,Ap1d8D,2023-09-27 13:54:01,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"Payments & On-Ramp, DeFi, Infrastructure, Identity, DEX, Wallet",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,2,2,
N6Rzg0,RoE0L9,2023-09-27 13:54:19,Positive,Governance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"DeFi, Payments & On-Ramp, Stablecoin, DEX",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,4,
R0VO64,kGMyW1,2023-09-27 13:55:11,Negative,"Speculative Research, Development/Building, Community and friends",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,"Infrastructure, Identity, DEX, Payments & On-Ramp, Bridge, Tooling & SDKs",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,3,2,[1] Announce information about considerations of far-reaching decisions before they are finally made [2] take community surveys like this one into account in advance [3] publish official statements about proposals from the ecosystem (like the one from build.5 on Sept. 19)
YQx27B,ElyXBN,2023-09-27 13:56:40,Positive,"Development/Building, Academic Research",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"Gaming, DeFi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,
V04rOg,Maob8Y,2023-09-27 13:57:07,Negative,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,DeFi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"Transparency, development updates, roadmap, ETAs "
N6RzZB,OXOz8K,2023-09-27 13:57:18,Positive,"Development/Building, Academic Research",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Infrastructure, Identity, Wallet, Payments & On-Ramp, Metaverse, Gaming, Stablecoin, DeFi",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,
oykW9M,8L7K2k,2023-09-27 14:00:39,Negative,"Entrepreneurial Networking, Community and friends",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,"Infrastructure, DeFi, Stablecoin, Identity",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,1,
K6abVD,YGNQvv,2023-09-27 14:02:33,Negative,"Entrepreneurial Networking, Community and friends",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"Infrastructure, Identity, Payments & On-Ramp, Stablecoin, DEX, DeFi",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,2,2,
jykNWa,47e8lA,2023-09-27 14:05:15,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"DeFi, DAO, Infrastructure, Gaming, DEX",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,2,
ZNZ0Yo,xDOp8v,2023-09-27 14:05:17,Positive,"Development/Building, Entrepreneurial Networking, Speculative Research, Community and friends",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"DeFi, NFTs, Gaming, Metaverse, Stablecoin, Payments & On-Ramp, DAO, Infrastructure, Identity, Wallet, Bridge, DEX, Launchpad & Fundraising",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,3,3,3,
J6W7Do,47e8lY,2023-09-27 14:05:30,Positive,"Speculative Research, Development/Building",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Infrastructure, Stablecoin, NFTs, Gaming, Wallet",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,
Mb7Brp,2AQe69,2023-09-27 14:06:46,Positive,"Community and friends, Governance, Speculative Research, Entrepreneurial Networking, Development/Building, Academic Research",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,"DeFi, DAO, Infrastructure, Identity, Wallet, NFTs, Stablecoin, Bridge, Tooling & SDKs, DEX, Analytics & Block Explorer, Metaverse, Payments & On-Ramp",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,2,2,
y6dLd0,ElyX24,2023-09-27 14:08:11,Positive,"Speculative Research, Entrepreneurial Networking",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Infrastructure, Identity, Wallet, NFTs, Gaming, DEX, Bridge",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,3,3,
e6Y4zE,68rLlB,2023-09-27 14:08:50,Positive,"Community and friends, Speculative Research, Governance",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,"DeFi, DAO, Identity, Wallet, NFTs, Stablecoin, DEX",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,2,2,
R0VpgP,ZoWDvB,2023-09-27 14:09:47,Positive,"Speculative Research, Entrepreneurial Networking",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Other, Wallet",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,I think that the Foundation should let student journalists in . This to get material for a Movie entitled 'The Making of IOTA'
QDOLyl,y4V6K4,2023-09-27 14:10:24,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, DAO, Identity, Wallet, Stablecoin, NFTs, Gaming, Bridge, DEX",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,3,1,
YQx8bv,zMPKx1,2023-09-27 14:11:42,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"DeFi, Infrastructure, Stablecoin, Tooling & SDKs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,1,1,
EXN9OB,QKdk97,2023-09-27 14:13:12,Positive,"Development/Building, Community and friends, Speculative Research",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,"Payments & On-Ramp, DeFi, Wallet, Identity, Stablecoin, Tooling & SDKs, DEX",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,1,
Ozovp7,Gp8rlQ,2023-09-27 14:15:38,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,DeFi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,
ZNZ04z,ElyPWA,2023-09-27 14:15:42,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, NFTs, Gaming, Metaverse, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,
GzQ8vo,ZoBWBy,2023-09-27 14:16:01,Positive,"Entrepreneurial Networking, Speculative Research, Community and friends, Governance",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, Stablecoin, DEX, Analytics & Block Explorer",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,2,2,"A lot of trust has to be rebuilt, after what happened with the announcement regarding token inflation. If the IF can deliver on the promises and work closely with the ecosystem and the community, trust can be rebuilt easily."
N6RGpQ,OlRAN7,2023-09-27 14:16:29,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,NFTs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,WTF
oykX9V,08NExA,2023-09-27 14:16:46,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,DEX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,4,
oykXDX,RxDoMQ,2023-09-27 14:17:44,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"DeFi, Payments & On-Ramp, Infrastructure, NFTs, DEX",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,2,
Lb6RKO,9Zbdl5,2023-09-27 14:18:22,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"DeFi, NFTs, Metaverse, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,1,clear vision!
1lpqr4,EKPPpA,2023-09-27 14:20:17,Positive,"Academic Research, Development/Building",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Infrastructure, DeFi, Analytics & Block Explorer",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,2,2,
OzoOLa,RoEzZ9,2023-09-27 14:21:21,Positive,Entrepreneurial Networking,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,"Launchpad & Fundraising, Metaverse, Gaming, NFTs, Identity, Infrastructure, DeFi, Payments & On-Ramp, DAO, Wallet, Stablecoin",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,2,3,
67pavA,08NEoy,2023-09-27 14:21:49,Positive,"Development/Building, Community and friends, Speculative Research",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,"DeFi, Identity, NFTs, Tooling & SDKs, DEX, Stablecoin, Wallet, Payments & On-Ramp, DAO, Infrastructure",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2,2,2,
XD2ZYP,L916Q1,2023-09-27 14:21:55,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Payments & On-Ramp, Wallet, Identity",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,3,
OzoOjg,8L7d6O,2023-09-27 14:23:06,Positive,"Academic Research, Development/Building, Speculative Research, Governance",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,4,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Stablecoin, NFTs, DEX",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,4,
r6kz2R,erkBYO,2023-09-27 14:23:27,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"DeFi, Identity, Gaming",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,
d6kBpA,lOJN5p,2023-09-27 14:26:30,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"DeFi, Bridge, Tooling & SDKs",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,2,
9WobyG,ElyPEq,2023-09-27 14:27:03,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,Gaming,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,3,
K6aqQV,DpgVLN,2023-09-27 14:32:31,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"Infrastructure, Payments & On-Ramp, Wallet",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,2,Partners
